recall,above 70,effort,number of docs,number of relevant
0.875,True,0.887228915663,2075,24
0.5384615384615384,False,0.433676975945,970,26
0.9166666666666666,True,0.846153846154,65,12
0.6161616161616161,False,0.558705228883,5221,99
0.6753246753246753,False,0.539562289562,792,77
0.6956521739130435,False,0.64603960396,1616,92
0.8,True,0.545764723335,2247,25
0.6634615384615384,False,0.777368391671,5971,104
0.782608695652174,True,0.621838478981,1911,46
0.6376811594202898,False,0.423688558447,6456,138
0.8214285714285714,True,0.715482172769,2786,56
0.6782608695652174,False,0.463053684425,6532,460
0.7115384615384616,True,0.576622494054,981,52
0.5185185185185185,False,0.480524208227,5494,54
0.6346153846153846,False,0.773672772431,6442,52
0.9,True,0.839541547278,349,20
0.6222222222222222,False,0.647127442403,8001,45
0.7391304347826086,True,0.727536231884,115,23
0.574468085106383,False,0.920084121977,317,47
0.45454545454545453,False,0.674931129477,242,11
0.16666666666666666,False,0.352941176471,170,6
0.7128712871287128,True,0.766718793119,10871,202

0.6697856372808976,0.4090909090909091,0.646284672142
